seed,duration_seconds,filename,timestamp,model,quality,steps,prompt
10065831,17,20250303_140846_seed10065831_family_picnic_soviet_union_par.png,2025-03-03 14:09:03,schnell,4,1,"family picnic soviet union park setting 35mm fuji film 1970s photograph distressed and faded"
11467797,17,20250303_140903_seed11467797_family_picnic_soviet_union_par.png,2025-03-03 14:09:20,schnell,4,1,"family picnic soviet union park setting 35mm fuji film 1970s photograph distressed and faded"
9154031,17,20250303_140920_seed9154031_family_picnic_soviet_union_par.png,2025-03-03 14:09:37,schnell,4,1,"family picnic soviet union park setting 35mm fuji film 1970s photograph distressed and faded"
28118923,16,20250303_140937_seed28118923_family_picnic_soviet_union_par.png,2025-03-03 14:09:53,schnell,4,1,"family picnic soviet union park setting 35mm fuji film 1970s photograph distressed and faded"
9924875,17,20250303_140953_seed9924875_family_picnic_soviet_union_par.png,2025-03-03 14:10:10,schnell,4,1,"family picnic soviet union park setting 35mm fuji film 1970s photograph distressed and faded"
28195748,16,20250303_141010_seed28195748_family_picnic_soviet_union_par.png,2025-03-03 14:10:26,schnell,4,1,"family picnic soviet union park setting 35mm fuji film 1970s photograph distressed and faded"
23442490,14,20250303_141027_seed23442490_family_picnic_soviet_union_par.png,2025-03-03 14:10:41,schnell,4,1,"family picnic soviet union park setting 35mm fuji film 1970s photograph distressed and faded"
