seed,duration_seconds,filename,timestamp,model,quality,steps,prompt
1495093,27,20250303_065145_seed1495093_women_looking_pensive__line_dr.png,2025-03-03 06:52:12,schnell,4,3,"women looking pensive, line drawing chinese style"
25628657,29,20250303_065212_seed25628657_women_looking_pensive__line_dr.png,2025-03-03 06:52:41,schnell,4,3,"women looking pensive, line drawing chinese style"
11631726,28,20250303_065242_seed11631726_women_looking_pensive__line_dr.png,2025-03-03 06:53:10,schnell,4,3,"women looking pensive, line drawing chinese style"
29958658,29,20250303_065310_seed29958658_women_looking_pensive__line_dr.png,2025-03-03 06:53:39,schnell,4,3,"women looking pensive, line drawing chinese style"
3214506,29,20250303_065339_seed3214506_women_looking_pensive__line_dr.png,2025-03-03 06:54:08,schnell,4,3,"women looking pensive, line drawing chinese style"
10926526,28,20250303_065408_seed10926526_women_looking_pensive__line_dr.png,2025-03-03 06:54:36,schnell,4,3,"women looking pensive, line drawing chinese style"
22712602,29,20250303_065436_seed22712602_women_looking_pensive__line_dr.png,2025-03-03 06:55:05,schnell,4,3,"women looking pensive, line drawing chinese style"
1616795,28,20250303_065505_seed1616795_women_looking_pensive__line_dr.png,2025-03-03 06:55:33,schnell,4,3,"women looking pensive, line drawing chinese style"
29327998,28,20250303_065533_seed29327998_women_looking_pensive__line_dr.png,2025-03-03 06:56:02,schnell,4,3,"women looking pensive, line drawing chinese style"
