step_count,duration_seconds,filename,timestamp,model,quality,seed,prompt
1,50,20250303_013153_1steps_The_Little_Prince_with_golden.png,2025-03-03 01:32:43,schnell,4,9841997,"The Little Prince with golden hair, dressed in green and         wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid,         Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes,         dreamy and whimsical."
3,98,20250303_013243_3steps_The_Little_Prince_with_golden.png,2025-03-03 01:34:21,schnell,4,9841997,"The Little Prince with golden hair, dressed in green and         wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid,         Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes,         dreamy and whimsical."
5,142,20250303_013421_5steps_The_Little_Prince_with_golden.png,2025-03-03 01:36:43,schnell,4,9841997,"The Little Prince with golden hair, dressed in green and         wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid,         Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes,         dreamy and whimsical."
10,298,20250303_013644_10steps_The_Little_Prince_with_golden.png,2025-03-03 01:41:42,schnell,4,9841997,"The Little Prince with golden hair, dressed in green and         wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid,         Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes,         dreamy and whimsical."
15,467,20250303_014142_15steps_The_Little_Prince_with_golden.png,2025-03-03 01:49:29,schnell,4,9841997,"The Little Prince with golden hair, dressed in green and         wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid,         Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes,         dreamy and whimsical."
20,506,20250303_014929_20steps_The_Little_Prince_with_golden.png,2025-03-03 01:57:55,schnell,4,9841997,"The Little Prince with golden hair, dressed in green and         wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid,         Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes,         dreamy and whimsical."
