seed,duration_seconds,filename,timestamp,model,quality,steps,prompt
25413751,71,20250303_142900_seed25413751_majestic_italian_style_archite.png,2025-03-03 14:30:11,schnell,4,3,"majestic italian style architectural complex, lots of buildings, structural drawings, line drawings, white background, minimalist, construction drawings"
1344400,73,20250303_143011_seed1344400_majestic_italian_style_archite.png,2025-03-03 14:31:24,schnell,4,3,"majestic italian style architectural complex, lots of buildings, structural drawings, line drawings, white background, minimalist, construction drawings"
15285265,38,20250303_143124_seed15285265_majestic_italian_style_archite.png,2025-03-03 14:32:02,schnell,4,3,"majestic italian style architectural complex, lots of buildings, structural drawings, line drawings, white background, minimalist, construction drawings"
