seed,duration_seconds,filename,timestamp,model,quality,steps,prompt
31062620,39,20250303_014654_seed31062620_A_group_of_disheveled__middle-.png,2025-03-03 01:47:33,schnell,4,1,"A group of disheveled, middle-aged men sitting on a sidewalk, some holding signs that hint at losing everything after divorce. A broken wedding ring on the ground reinforces the connection to divorce. cartoon style"
29917946,54,20250303_014733_seed29917946_A_group_of_disheveled__middle-.png,2025-03-03 01:48:27,schnell,4,1,"A group of disheveled, middle-aged men sitting on a sidewalk, some holding signs that hint at losing everything after divorce. A broken wedding ring on the ground reinforces the connection to divorce. cartoon style"
1662519,40,20250303_014828_seed1662519_A_group_of_disheveled__middle-.png,2025-03-03 01:49:08,schnell,4,1,"A group of disheveled, middle-aged men sitting on a sidewalk, some holding signs that hint at losing everything after divorce. A broken wedding ring on the ground reinforces the connection to divorce. cartoon style"
