seed,duration_seconds,filename,timestamp,model,quality,steps,prompt
6391569,73,20250303_011430_seed6391569_The_Little_Prince_with_golden.png,2025-03-03 01:15:43,schnell,4,3,"The Little Prince with golden hair, dressed in green and wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid, Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes, dreamy and whimsical."
21945366,69,20250303_011544_seed21945366_The_Little_Prince_with_golden.png,2025-03-03 01:16:53,schnell,4,3,"The Little Prince with golden hair, dressed in green and wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid, Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes, dreamy and whimsical."
1733305,71,20250303_011654_seed1733305_The_Little_Prince_with_golden.png,2025-03-03 01:18:05,schnell,4,3,"The Little Prince with golden hair, dressed in green and wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid, Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes, dreamy and whimsical."
5073735,72,20250303_011805_seed5073735_The_Little_Prince_with_golden.png,2025-03-03 01:19:17,schnell,4,3,"The Little Prince with golden hair, dressed in green and wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid, Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes, dreamy and whimsical."
9841997,68,20250303_011917_seed9841997_The_Little_Prince_with_golden.png,2025-03-03 01:20:25,schnell,4,3,"The Little Prince with golden hair, dressed in green and wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid, Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes, dreamy and whimsical."
10047572,66,20250303_012025_seed10047572_The_Little_Prince_with_golden.png,2025-03-03 01:21:31,schnell,4,3,"The Little Prince with golden hair, dressed in green and wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid, Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes, dreamy and whimsical."
25959737,65,20250303_012131_seed25959737_The_Little_Prince_with_golden.png,2025-03-03 01:22:36,schnell,4,3,"The Little Prince with golden hair, dressed in green and wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid, Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes, dreamy and whimsical."
3004939,45,20250303_012237_seed3004939_The_Little_Prince_with_golden.png,2025-03-03 01:23:22,schnell,4,3,"The Little Prince with golden hair, dressed in green and wrapped in a yellow scarf, tenderly caring for a red rose on a small asteroid, Van Gogh Starry Night sky, swirling stars, oil painting, soft brush strokes, dreamy and whimsical."
